panel,delta,input,T,y,width,p0,coherent,omitted_cross,nonlinear,cc,cl,ll
a,1e-06,1,242.44843145461283,-21.6,139.78180006918654,0.03679019946676568,-0.00019187655976278024,-9.637604356015325e-05,-0.00019135411690927862,-4.2955463679400314e-05,-9.550051620262698e-05,-5.3420579880752926e-05
a,1e-06,1,242.44843145461283,-21.200000000000003,139.78180006918654,0.03679019946676568,-0.00018737408722490292,-9.419648280691658e-05,-0.00018687573603948238,-4.1316287965697825e-05,-9.317760441798634e-05,-5.2880194841218756e-05
a,1e-06,1,242.44843145461283,-20.8,139.78180006918654,0.03679019946676568,-0.00018292318955598615,-9.204971043404007e-05,-0.0001824480957121205,-3.971559984205407e-05,-9.087347912194608e-05,-5.2334110591986006e-05
a,1e-06,1,242.44843145461283,-20.400000000000002,139.78180006918654,0.03679019946676568,-0.00017852396174688445,-8.993548745768714e-05,-0.00017807130996209952,-3.815300614605338e-05,-8.858847428919731e-05,-5.178248131163376e-05
a,1e-06,1,242.44843145461283,-20.0,139.78180006918654,0.03679019946676568,-0.00017417648896476918,-8.785357492156447e-05,-0.00017374548197739148,-3.662811108855184e-05,-8.632291404320471e-05,-5.122546383301264e-05
a,1e-06,1,242.44843145461283,-19.6,139.78180006918654,0.03679019946676568,-0.00016988084722286345,-8.580373441195285e-05,-0.00016947070704283196,-3.514051681593419e-05,-8.407711281091057e-05,-5.066321759601866e-05
a,1e-06,1,242.44843145461283,-19.200000000000003,139.78180006918654,0.03679019946676568,-0.00016563710404806275,-8.378572856153799e-05,-0.0001652470705140116,-3.3689823962704e-05,-8.185137548652477e-05,-5.009590459883399e-05
a,1e-06,1,242.44843145461283,-18.8,139.78180006918654,0.03679019946676568,-0.00016144531914626594,-8.17993215419514e-05,-0.00016107465090308554,-3.227563219404396e-05,-7.964599760431455e-05,-4.952368934790744e-05
a,1e-06,1,242.44843145461283,-18.400000000000002,139.78180006918654,0.03679019946676568,-0.00015730554506473673,-7.984427954472449e-05,-0.000156953518068971,-3.089754073825289e-05,-7.746126552001224e-05,-4.8946738806471596e-05
a,1e-06,1,242.44843145461283,-18.0,139.78180006918654,0.03679019946676568,-0.0001532178278510086,-7.792037125044288e-05,-0.00015288373618307233,-2.9555148908765022e-05,-7.52974566005657e-05,-4.8365222341677854e-05
a,1e-06,1,242.44843145461283,-17.6,139.78180006918654,0.03679019946676568,-0.0001491822077075511,-7.602736828580078e-05,-0.00014886536338874767,-2.824805661561092e-05,-7.315483942175031e-05,-4.7779311670189864e-05
a,1e-06,1,242.44843145461283,-17.2,139.78180006918654,0.03679019946676568,-0.00014519871964274917,-7.416504566892432e-05,-0.0001448984518355942,-2.697586486615042e-05,-7.103367397382484e-05,-4.718918080277391e-05
a,1e-06,1,242.44843145461283,-16.8,139.78180006918654,0.03679019946676568,-0.00014126739411656449,-7.233318224221256e-05,-0.00014098304965534658,-2.5738176254913693e-05,-6.893421187435193e-05,-4.659500598729886e-05
a,1e-06,1,242.44843145461283,-16.400000000000002,139.78180006918654,0.03679019946676568,-0.0001373882576809927,-7.053156109287105e-05,-0.00013711920031637265,-2.4534595442454575e-05,-6.685669658812164e-05,-4.599696565041648e-05
a,1e-06,1,242.44843145461283,-16.0,139.78180006918654,0.03679019946676568,-0.00013356133361523174,-6.875996996125395e-05,-0.00013330694369822343,-2.3364729623031482e-05,-6.48013636539778e-05,-4.539524033822246e-05
a,1e-06,1,242.44843145461283,-15.600000000000001,139.78180006918654,0.03679019946676568,-0.00012978664255429678,-6.701820163644828e-05,-0.00012954631788195115,-2.2228188981112092e-05,-6.276844091784849e-05,-4.479001265533618e-05
a,1e-06,1,242.44843145461283,-15.200000000000001,139.78180006918654,0.03679019946676568,-0.00012606420311134803,-6.530605433943343e-05,-0.0001258373576105351,-2.112458713652465e-05,-6.075814877191461e-05,-4.4181467202908776e-05
