record_index,delta,L_B,constraint_residual,finite_q_relative_error,incoming_plateau,outgoing_plateau
70,3.1622779950168933e-09,14.227947291778422,2.8002586390663316e-16,7.804200626097703e-10,True,True
71,3.1622779950168933e-09,19.12094058791867,2.800256166285015e-16,1.2830647077614849e-09,True,True
72,3.1622779950168933e-09,11.292151314094273,7.97543776761547e-16,5.160505241068926e-08,True,True
73,3.1622779950168933e-09,14.227947291778422,2.8002586390663316e-16,7.804200626097703e-10,True,True
74,3.1622779950168933e-09,19.12094058791867,2.800256166285015e-16,1.2830647077614849e-09,True,True
75,3.1622779950168933e-09,10.944643759697561,7.478182023665747e-16,5.171424071186931e-08,True,True
76,3.1622779950168933e-09,13.88043973738171,2.8280358027647043e-16,7.358233077027414e-10,True,True
77,3.1622779950168933e-09,18.77343303352196,2.80991190136359e-16,1.2529369294883807e-09,True,True
78,3.1622779950168933e-09,10.949652115320795,7.555859563440218e-16,5.171251952157465e-08,True,True
79,3.1622779950168933e-09,13.885448093004946,2.830641652900921e-16,7.366153758315344e-10,True,True
80,3.1622779950168933e-09,18.778441389145193,2.809913758798059e-16,1.2534005147696225e-09,True,True
81,3.1622779950168933e-09,10.949652115320795,7.555859563440218e-16,5.171251952157465e-08,True,True
82,3.1622779950168933e-09,13.885448093004946,2.830641652900921e-16,7.366153758315344e-10,True,True
83,3.1622779950168933e-09,18.778441389145193,2.809913758798059e-16,1.2534005147696225e-09,True,True
84,3.1622779950168933e-09,10.949652115320795,7.555859563440218e-16,5.1712519567881087e-08,True,True
85,3.1622779950168933e-09,13.885448093004946,2.830641652900921e-16,7.366153283359601e-10,True,True
86,3.1622779950168933e-09,18.778441389145193,2.809913758798059e-16,1.2534005147696225e-09,True,True
87,3.1622779950168933e-09,10.949652115320795,7.555859563440218e-16,5.171251952157465e-08,True,True
88,3.1622779950168933e-09,13.885448093004946,2.830641652900921e-16,7.366153758315344e-10,True,True
89,3.1622779950168933e-09,18.778441389145193,2.809913758798059e-16,1.2534005147696225e-09,True,True
90,9.999999717180685e-09,11.000474179267838,9.687624497647695e-16,4.825531862700637e-08,True,True
91,9.999999717180685e-09,13.763576295102983,3.2842796913427334e-16,4.0581615668939407e-10,True,True
92,9.999999717180685e-09,18.36874648816156,3.346762054678482e-16,6.833813650284573e-10,True,True
93,9.999999717180685e-09,11.005482534891074,1.0347784458344793e-15,4.8254081960212734e-08,True,True
